dimension,raw_tag,canonical_tag,suggested_tag,r189_action,r189_reason,r189_confidence,r189_profile_similarity,governance_action,governance_reasons,requires_review,is_long_tail,is_generic_or_noisy,is_multimodal,tail_threshold,row_count,effect_weight,event_count,token_weight,support,top_processes,top_effects,top_paths,top_context_tags,top_models,top_kinds,regeneration_context_hash,regenerated_tag,regenerated_valid,regeneration_error,review_label,review_notes
llm,writestry,writestry,test,review,lexical+profile,0.691,0.559,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,2,152714592,2,,,,refactor=148216352; test=4498242,codex=152714594,input=78048027; cache=74260736; output=405829,aa4ee4ff89654f5c,,,,,
prompt,cleanbuild,cleanbuild,cleanup,review,lexical+profile,0.642,0.926,review_merge,r189_review_suggestion_not_applied,True,True,True,False,100,1,2,0,0,2,docker=2,process=2,none=2,cleanup=3,,,b23b3522feb56034,,,,,
llm,analyzefs,analyzefs,analyze,review,lexical+profile,0.695,0.35,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,180,1,,,,diskfull=91,codex=91,estimate=90,9fbf4aca079c111e,,,,,
llm,analyzeverif,analyzeverif,analyze,review,lexical+profile,0.696,0.35,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,100,1,,,,research=51,codex=51,estimate=50,87f873bbec73751d,,,,,
llm,apiupdate,apiupdate,update,review,lexical+profile,0.643,0.2,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,90,1,,,,tag=46,codex=46,estimate=45,533aed9ce6302bf4,,,,,
llm,bindcheck,bindcheck,check,review,lexical+profile,0.633,0.171,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,120,1,,,,debug=61,codex=61,estimate=60,44983f19c2bf2d6d,,,,,
llm,buildsync,buildsync,build,review,lexical+profile,0.702,0.37,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,112,1,,,,review=57,codex=57,estimate=56,55754b19d4651560,,,,,
llm,buildx,buildx,build,review,lexical+profile,0.62,0.135,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,118,1,,,,analyze=60,codex=60,estimate=59,dde966076eab21ea,,,,,
llm,bumpcheck,bumpcheck,check,review,lexical+profile,0.702,0.369,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,104,1,,,,refactor=53,codex=53,estimate=52,f8c99c05c75dee9f,,,,,
llm,cachecheck,cachecheck,check,review,lexical+profile,0.633,0.171,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,26,1,,,,analyze=14,codex=14,estimate=13,8f31fcd8ff4bbf26,,,,,
llm,checkbuild,checkbuild,build,review,lexical+profile,0.695,0.347,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,92,1,,,,review=47,codex=47,estimate=46,2680a846195e2299,,,,,
llm,checkdep,checkdep,check,review,lexical+profile,0.633,0.171,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,80,1,,,,benchmark=41,codex=41,estimate=40,9b52b402057e1a85,,,,,
llm,checkheaders,checkheaders,check,review,lexical+profile,0.663,0.258,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,29984,1,,,,explore=29985,claude-haiku-4-5-20251001=29985,cache=29983; output=1,641dd1f4bbcce60d,,,,,
llm,checklink,checklink,check,review,lexical+profile,0.688,0.327,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,146,1,,,,review=74,codex=74,estimate=73,8d6e5d75ad7791f5,,,,,
llm,checklog,checklog,check,review,lexical+profile,0.633,0.171,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,54,1,,,,analyze=28,codex=28,estimate=27,0d0389c016a838d8,,,,,
llm,checkpdf,checkpdf,check,review,lexical+profile,0.642,0.196,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,100,1,,,,docs=51,codex=51,estimate=50,2724b795a609ccae,,,,,
llm,checkpoint,checkpoint,check,review,lexical+profile,0.623,0.144,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,62,1,,,,review=32,codex=32,estimate=31,d768ab9c89d332ae,,,,,
llm,checkptr,checkptr,check,review,lexical+profile,0.702,0.369,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,86,1,,,,refactor=44,codex=44,estimate=43,2857e6804ced61b7,,,,,
llm,checkreadme,checkreadme,check,review,lexical+profile,0.633,0.171,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,102,1,,,,readme=52,codex=52,estimate=51,56f5839b37aaaf19,,,,,
llm,checkspace,checkspace,check,review,lexical+profile,0.633,0.171,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,86,1,,,,design=44,codex=44,estimate=43,1d5f7524012c2e49,,,,,
llm,checkstamp,checkstamp,check,review,lexical+profile,0.702,0.369,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,62,1,,,,refactor=32,codex=32,estimate=31,cb367915adc6440e,,,,,
llm,ciupdate,ciupdate,update,review,lexical+profile,0.643,0.2,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,58,1,,,,research=30,codex=30,estimate=29,883819c1a2b013ee,,,,,
llm,claimreview,claimreview,review,review,lexical+profile,0.643,0.201,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,84,1,,,,analyze=43,codex=43,estimate=42,7a97a6faeeaf4586,,,,,
llm,clianalyze,clianalyze,cli,review,lexical+profile,0.633,0.172,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,61058,1,,,,cli=61059,claude-haiku-4-5-20251001=61059,cache=57593; output=3465,64762c171dca6266,,,,,
llm,docsbuild,docsbuild,docs,review,lexical+profile,0.695,0.35,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,32,1,,,,faq=17,codex=17,estimate=16,0650aa3c5e0996a0,,,,,
llm,docsdesignm,docsdesignm,docs,review,lexical+profile,0.695,0.35,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,640,1,,,,gothub=321,codex=321,estimate=320,debd0470b4e4e5e6,,,,,
llm,docsdiff,docsdiff,docs,review,lexical+profile,0.695,0.35,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,80,1,,,,costanalysis=41,codex=41,estimate=40,749443fd4da382dc,,,,,
llm,docsdocx,docsdocx,docs,review,lexical+profile,0.707,0.384,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,84,1,,,,review=43,codex=43,estimate=42,59bea5f506a1204c,,,,,
llm,docsstage,docsstage,docs,review,lexical+profile,0.712,0.396,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,32,1,,,,analyze=17,codex=17,estimate=16,2d5b01debad56422,,,,,
llm,dumpanalyze,dumpanalyze,analyze,review,lexical+profile,0.696,0.35,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,96,1,,,,refactor=49,codex=49,estimate=48,39b07d8e749c364d,,,,,
llm,evalcheck,evalcheck,check,review,lexical+profile,0.702,0.369,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,118,1,,,,refactor=60,codex=60,estimate=59,81b2f504cd6a557d,,,,,
llm,fixopenssl,fixopenssl,fix,review,lexical+profile,0.648,0.214,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,138949,1,,,,docs=138950,claude-opus-4-7=138950,cache=138486; output=461; input=2,0a661a6e69724d06,,,,,
llm,iupdate,iupdate,update,review,lexical+profile,0.697,0.355,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,25095,1,,,,design=25096,claude-opus-4-6=25096,cache=25092; output=2; input=1,4cfbc7c44cdf59db,,,,,
llm,linecheck,linecheck,check,review,lexical+profile,0.702,0.369,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,36,1,,,,refactor=19,codex=19,estimate=18,ccfab7adb363cdd4,,,,,
llm,linkcheck,linkcheck,check,review,lexical+profile,0.702,0.369,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,60,1,,,,refactor=31,codex=31,estimate=30,fb551f0eb71b691f,,,,,
llm,makecheck,makecheck,check,review,lexical+profile,0.702,0.369,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,30,1,,,,refactor=16,codex=16,estimate=15,d71b52fc68ef9422,,,,,
llm,maptest,maptest,test,review,lexical+profile,0.697,0.353,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,36,1,,,,research=19,codex=19,estimate=18,da7074b184a30850,,,,,
llm,mdupdate,mdupdate,update,review,lexical+profile,0.644,0.202,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,4,1,,,,refactor=3,codex=3,estimate=2,4c8a01e0bd38b70b,,,,,
llm,parsecheck,parsecheck,parse,review,lexical+profile,0.694,0.346,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,55698,1,,,,explore=55699,claude-haiku-4-5-20251001=55699,cache=55694; output=4,f270b61dd54cd2a1,,,,,
llm,policybuild,policybuild,build,review,lexical+profile,0.695,0.347,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,242,1,,,,review=122,codex=122,estimate=121,75d5d6f53f03b63d,,,,,
llm,prbuild,prbuild,build,review,lexical+profile,0.624,0.146,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,44,1,,,,setup=23,codex=23,estimate=22,6ea7624bc73e4688,,,,,
llm,prereqcheck,prereqcheck,check,review,lexical+profile,0.702,0.369,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,62,1,,,,refactor=32,codex=32,estimate=31,cd18eb5030ec4a17,,,,,
llm,reportcheck,reportcheck,report,review,lexical+profile,0.696,0.35,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,42,1,,,,design=22,codex=22,estimate=21,bacc92550b7c88a3,,,,,
llm,reportgate,reportgate,report,review,lexical+profile,0.696,0.35,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,118,1,,,,design=60,codex=60,estimate=59,d38909e9e0b08ab6,,,,,
llm,reportsync,reportsync,report,review,lexical+profile,0.696,0.35,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,58,1,,,,design=30,codex=30,estimate=29,0f80b1cf384e809f,,,,,
llm,rqdesign,rqdesign,design,review,lexical+profile,0.696,0.35,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,46,1,,,,compare=24,codex=24,estimate=23,cb4348820d9fdd6a,,,,,
llm,runcheck,runcheck,check,review,lexical+profile,0.702,0.369,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,88,1,,,,refactor=45,codex=45,estimate=44,ffdf458f40d37e6e,,,,,
llm,scoreupdate,scoreupdate,update,review,lexical+profile,0.643,0.2,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,92,1,,,,analyze=47,codex=47,estimate=46,8b7e0b94c0c35d4b,,,,,
llm,stagecheck,stagecheck,check,review,lexical+profile,0.688,0.327,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,46,1,,,,review=24,codex=24,estimate=23,8ea7c769ae2717e6,,,,,
llm,stagedocs,stagedocs,docs,review,lexical+profile,0.712,0.396,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,44,1,,,,analyze=23,codex=23,estimate=22,d4af13e938f4de8c,,,,,
llm,statcheck,statcheck,stat,review,lexical+profile,0.706,0.379,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,88,1,,,,review=45,codex=45,estimate=44,a0c9b50c1f81a31b,,,,,
llm,storeupdate,storeupdate,update,review,lexical+profile,0.643,0.2,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,86,1,,,,analyze=44,codex=44,estimate=43,023de9d717642f9f,,,,,
llm,tagdocs,tagdocs,docs,review,lexical+profile,0.695,0.35,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,98,1,,,,marketdoc=50,codex=50,estimate=49,eaa31b9b9e32b80d,,,,,
llm,testcfg,testcfg,test,review,lexical+profile,0.694,0.346,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,57138,1,,,,refactor=57139,claude-haiku-4-5-20251001=57139,cache=57137; output=1,f72e3a935932f75b,,,,,
llm,testdelete,testdelete,test,review,lexical+profile,0.694,0.347,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,127331,1,,,,refactor=127332,claude-opus-4-6=127332,cache=127329; input=1; output=1,6ef574a7dbc0fd08,,,,,
llm,testresult,testresult,test,review,lexical+profile,0.706,0.38,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,68,1,,,,test=35,codex=35,estimate=34,5c80da8bc101402d,,,,,
llm,testtrim,testtrim,test,review,lexical+profile,0.694,0.347,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,114095,1,,,,refactor=114096,claude-opus-4-6=114096,cache=113315; output=779; input=1,6997e5913cc69b3a,,,,,
llm,timecheck,timecheck,check,review,lexical+profile,0.688,0.327,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,152,1,,,,review=77,codex=77,estimate=76,f2085573442a9be2,,,,,
llm,tokencheck,tokencheck,check,review,lexical+profile,0.688,0.327,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,84,1,,,,review=43,codex=43,estimate=42,4e98b2b4a0bb6c3a,,,,,
llm,tooldesign,tooldesign,design,review,lexical+profile,0.698,0.356,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,114,1,,,,docupdate=58,codex=58,estimate=57,90f23b7c90726abf,,,,,
llm,trackupdate,trackupdate,update,review,lexical+profile,0.643,0.2,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,32,1,,,,design=17,codex=17,estimate=16,69cc8a6cbe937484,,,,,
llm,treebuild,treebuild,build,review,lexical+profile,0.702,0.37,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,92,1,,,,review=47,codex=47,estimate=46,09f6ce98ed70c43c,,,,,
llm,updateapi,updateapi,update,review,lexical+profile,0.643,0.2,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,48,1,,,,branding=25,codex=25,estimate=24,8f796c37f9fff10c,,,,,
llm,updateffmpeg,updateffmpeg,update,review,lexical+profile,0.643,0.2,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,72,1,,,,analyze=37,codex=37,estimate=36,60bf9160c5ab70ca,,,,,
llm,updategrub,updategrub,update,review,lexical+profile,0.643,0.2,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,104,1,,,,testcodex=53,codex=53,estimate=52,0f1dece31a79d4b9,,,,,
llm,updatehtml,updatehtml,update,review,lexical+profile,0.643,0.2,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,82,1,,,,design=42,codex=42,estimate=41,61f8c5a9aa3b36ca,,,,,
llm,updatejson,updatejson,update,review,lexical+profile,0.643,0.2,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,72,1,,,,analyze=37,codex=37,estimate=36,c8f546488f599e9b,,,,,
llm,updatemap,updatemap,update,review,lexical+profile,0.643,0.2,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,192,1,,,,benchmark=97,codex=97,estimate=96,a442bd8ac058922c,,,,,
llm,uxreview,uxreview,review,review,lexical+profile,0.658,0.244,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,26,1,,,,docs=14,codex=14,estimate=13,e1e799ef2789af5c,,,,,
llm,viewbuild,viewbuild,build,review,lexical+profile,0.681,0.308,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,1,49903,1,,,,refactor=49904,claude-haiku-4-5-20251001=49904,cache=49890; input=7; output=6,94e5f231902d1428,,,,,
prompt,rqreview,rqreview,review,review,lexical+profile,0.626,0.151,review_merge,r189_review_suggestion_not_applied,True,True,True,False,100,1,0,0,0,1,,,,review=1,,,d2a01dd0678ea4c6,,,,,
prompt,ignored,ignored,ignored,keep,head,1.0,1.0,contextual_split_candidate,multi_peak_processes;multi_peak_paths;generic_or_noisy_tag,True,False,True,True,100,1,1221,0,0,1221,sed=254; tool/tool=206; git=202; rg=149; python3=109; llvm-objdump=37,read=680; process=484; write=46; test=8; repo=3,llvm-backend=381; none=335; micro=187; module=103; llvm=44; bpfopt=20,refactor=1222,,,910f4cda86263b78,refactor,True,,,
prompt,codex,codex,codex,keep,low_confidence,0.337,0.731,contextual_split_candidate,multi_peak_processes;generic_or_noisy_tag,True,False,True,True,100,2,402,0,0,402,git=126; nl=78; rg=50; rustfmt=48; sed=44; cargo=22,read=302; process=78; test=22,collector/src=202; agentsight=74; none=44; bpf=32; docs/plan_branchcontext_motivation_experiments.md=16; scripts=12,docs=404,,,f48b8b97562aea2e,codexnavigate,True,,,
llm,check,check,check,keep,head,1.0,1.0,regenerate_candidate,generic_or_noisy_tag,True,False,True,False,10,0,0,294,4627485,294,,,,refactor=2709619; review=1050982; merge=479675; metrics=159701; test=116453; docs=84193,claude-opus-4-6=2464990; claude-haiku-4-5-20251001=1609928; claude-opus-4-7=520351; codex=16371,cache=4589829; estimate=16139; output=5253; input=125,da569356b1900778,review,True,,,
prompt,codexcheck,codexcheck,codexcheck,keep,low_confidence,0.322,0.633,regenerate_candidate,generic_or_noisy_tag,True,False,True,True,100,1,176,0,0,176,wc=54; rg=46; git=28; cargo=26; sed=18; nl=4,read=150; test=18; process=8,collector/src=78; src=38; none=34; .rs=14; collector/tests=8; docs/design=4,uxdesign=177,,,b2c5a21a97f80828,codexanalyze,True,,,
llm,update,update,update,keep,head,1.0,1.0,regenerate_candidate,generic_or_noisy_tag,True,False,True,False,10,0,0,168,243622431,168,,,,review=242415819; refactor=825135; metrics=161249; test=117141; build=88845; design=1146,codex=242296330; claude-opus-4-6=784934; claude-opus-4-7=379185; claude-opus-4-8=88836; claude-haiku-4-5-20251001=64259,input=123859616; cache=118940874; output=803831; estimate=9055,0fbf507af7e8de9b,update,True,,,
prompt,checkpoint,checkpoint,checkpoint,keep,low_confidence,0.359,0.739,regenerate_candidate,generic_or_noisy_tag,True,False,True,True,100,1,126,0,0,126,rg=42; sed=22; git=18; nl=14; tool/tool=10; tool/plan=8,read=100; process=26,docs/experiment-plans=34; docs/research_plan.md=30; none=22; docs/tmp=18; plan=8; osdi-experiment-design=4,design=127,,,587d3f35125ef9cf,checkpoint,True,,,
prompt,codexinteg,codexinteg,codexinteg,keep,low_confidence,0.31,0.6,regenerate_candidate,generic_or_noisy_tag,True,False,True,True,100,1,100,0,0,100,wc=36; rg=30; sed=26; cargo=6; nl=2,read=94; test=4; process=2,collector/src=80; collector/tests=8; none=6; .rs=6,uxdesign=101,,,234c4d4b0d3ae701,codexread,True,,,
prompt,update,update,update,keep,low_confidence,0.427,0.933,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,True,100,6,95,0,0,95,rg=28; sed=20; tool/tool=19; git=16; tool/plan=3; find=3,read=69; process=26,none=21; agents.md=10; llvm-backend=10; module=10; collector/src=9; micro=4,refactor=76; design=25,,,6deda0235b4234be,refactor,True,,,
prompt,costanalysis,costanalysis,costanalysis,keep,low_confidence,0.293,0.552,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,True,100,1,71,0,0,71,tool/subagent=38; python3=11; git=7; sed=6; rg=3; tool/plan=2,process=50; read=20; write=1,docs/eval_runs=26; none=21; docs/papers=9; yunwei37=9; docs/rq1-expressiveness=4; docs/eval.md=1,refactor=72,,,e5b235c79355619d,refactor,True,,,
prompt,auditrewrite,auditrewrite,auditrewrite,keep,low_confidence,0.334,0.67,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,False,100,1,42,0,0,42,rg=22; sed=10; git=6; tool/plan=2; find=2,read=40; process=2,docs/design=20; none=6; readme.md=6; readme.zh-cn.md=4; node_modules=2; script=2,design=43,,,d0a6989cf89d3ef4,auditrewrite,True,,,
prompt,syncsync,syncsync,syncsync,keep,low_confidence,0.308,0.612,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,True,100,1,39,0,0,39,find=10; git=9; for=5; sed=5; tmp_mktemp=4; ls=2,read=26; process=13,skills=8; yunwei37=7; scripts=6; none=5; home=3; skill-creator=3,analyze=40,,,ea8314c77817e3b3,sync,True,,,
llm,clauderesp,clauderesp,clauderesp,keep,low_confidence,0.222,0.35,regenerate_candidate,generic_or_noisy_tag,True,False,True,False,10,0,0,32,1233622,32,,,,cli=1233654,claude-haiku-4-5-20251001=1233654,cache=1230655; output=2880; input=87,c15252fe7e7afd60,query,True,,,
prompt,agentsight,agentsight,agentsight,keep,low_confidence,0.406,0.874,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,True,100,2,28,0,0,28,rg=10; sed=4; git=3; printf=2; cargo=2; curl=2,read=17; process=7; test=2; network=2,none=12; collector/src=9; frontend/src=3; .rs=1; .ts=1; .tsx=1,review=27; agentsight=3,,,82002011b47ed5fb,review,True,,,
prompt,dataupdate,dataupdate,dataupdate,keep,low_confidence,0.29,0.543,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,False,100,1,27,0,0,27,find=14; python3=6; for=2; ps=2; test=2; stat=1,read=14; process=8; write=5,corpus=7; micro=3; result.json=3; none=3; details=1; katran.json=1,refactor=28,,,72f9d23dbfc0e2dd,refactor,True,,,
prompt,syncdir,syncdir,syncdir,keep,low_confidence,0.324,0.659,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,True,100,1,24,0,0,24,find=8; git=5; ls=3; set=2; systemctl=2; flock=1,read=16; process=8,none=11; yunwei37=8; .config=2; user=1; skill-creator=1; systemd=1,analyze=25,,,f10d3103001b32c4,syncdir,True,,,
prompt,check,check,check,keep,low_confidence,0.338,0.69,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,True,100,14,20,0,0,20,sed=5; find=4; rg=2; ps=2; rm=2; tmux=2,read=12; process=5; write=2; network=1,vendor=7; none=6; tmp=3; home=2; .agentsight=1; collector/target=1,review=14; analyze=11; refactor=8; sslcountchk=1,,,3dffdf6fd09b83b0,analyze,True,,,
prompt,namecheck,namecheck,namecheck,keep,low_confidence,0.236,0.497,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,False,100,1,13,0,0,13,python=11; gh=1; npm=1,network=11; process=2,none=12; https:=1,branding=14,,,9bb3226d7740c4e4,validate,True,,,
prompt,perfcheck,perfcheck,perfcheck,keep,low_confidence,0.282,0.519,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,False,100,1,11,0,0,11,tool/read=6; find=3; grep=2,process=6; read=5,collector/src=6; .claude=2; src=2; .codex=1,review=12,,,f266a1e3fef71661,review,True,,,
prompt,prompt,prompt,prompt,keep,low_confidence,0.163,0.199,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,False,100,11,0,0,0,11,,,,analyze=11,,,ad03d4b4c1441b53,analyze,True,,,
llm,run,run,run,keep,low_confidence,0.376,0.789,regenerate_candidate,generic_or_noisy_tag,True,False,True,True,10,0,0,10,932,10,,,,refactor=149; review=106; analyze=95; docs=48; testcodex=47; design=31,codex=476,estimate=466,fefdaa04443bc395,analyze,True,,,
llm,staged,staged,staged,keep,low_confidence,0.369,0.768,regenerate_candidate,generic_or_noisy_tag,True,False,True,True,10,0,0,10,636,10,,,,analyze=89; design=77; testcodex=62; test=51; explain=49,codex=328,estimate=318,e3a24c19c5b78c16,analyze,True,,,
prompt,paperagentfl,paperagentfl,paperagentfl,keep,low_confidence,0.258,0.45,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,False,100,5,10,0,0,10,rg=10,read=10,docs/visexp=10,paperagentfl=15,,,72267fa8d74e7b7a,readagent,True,,,
session,paperagentfl,paperagentfl,paperagentfl,keep,low_confidence,0.251,0.431,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,False,100,5,10,0,0,10,rg=10,read=10,docs/visexp=10,paperagentfl=10,,,e22fc8ce24a7072e,readagent,True,,,
session,rootpidrefsc,rootpidrefsc,rootpidrefsc,keep,low_confidence,0.251,0.431,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,False,100,5,10,0,0,10,rg=10,read=10,docs/visexp=10,rootpidrefs=10,,,2882ec3c8049efde,read,True,,,
llm,process,process,process,keep,low_confidence,0.417,0.152,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,False,10,0,0,8,26895,8,,,,design=26182; analyze=165; refactor=100; trace=52; review=47,claude-haiku-4-5-20251001=26182; codex=364,cache=26171; estimate=357; input=7; output=3,ab103cbe26d164f0,analyze,True,,,
prompt,chartupdate,chartupdate,chartupdate,keep,low_confidence,0.32,0.628,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,False,100,1,8,0,0,8,python3=4; ls=3; rg=1,read=4; process=4,none=4; docs/figures=3; docs/micro-bench-status.md=1,refactor=9,,,16260763f096082e,refactor,True,,,
prompt,run,run,run,keep,low_confidence,0.349,0.711,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,True,100,1,8,0,0,8,sed=6; git=2,read=8,none=2; collector/cargo.toml=2; collector/src=2; readme.md=2,review=9,,,b36efb32af957737,review,True,,,
session,agentsightsm,agentsightsm,agentsightsm,keep,low_confidence,0.1,0.0,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,False,100,8,0,0,0,8,,,,,,,5941b8404514920a,search,True,,,
llm,releasecheck,releasecheck,releasecheck,keep,low_confidence,0.611,0.109,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,False,10,0,0,7,468,7,,,,explain=132; research=64; refactor=45,codex=241,estimate=234,b5da298ce1d4f7fe,releasecheck,True,,,
llm,bpfanalyze,bpfanalyze,bpfanalyze,keep,low_confidence,0.573,0.0,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,False,10,0,0,6,177094,6,,,,explore=177100,claude-haiku-4-5-20251001=177100,cache=177070; input=12; output=12,3ebc64043b07d1f6,analyze,True,,,
llm,prompt,prompt,prompt,keep,low_confidence,0.393,0.837,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,True,10,0,0,5,200,5,,,,design=28; validate=28; review=24; test=18; network=7,codex=105,estimate=100,7512bb7213ad297f,estimate,True,,,
llm,refsccodex,refsccodex,refsccodex,keep,low_confidence,0.223,0.35,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,False,10,0,0,5,1150,5,,,,rootpidrefs=580,codex=580,estimate=575,9b7cee0c64120ccf,refer,True,,,
llm,checker,checker,checker,keep,low_confidence,0.574,0.002,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,False,10,0,0,4,384,4,,,,design=111; analyze=48; research=37,codex=196,estimate=192,b4b6a5465313fb79,analyze,True,,,
llm,syncsync,syncsync,syncsync,keep,low_confidence,0.425,0.929,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,True,10,0,0,4,214,4,,,,design=44; review=37; designfix=18; refactor=12,codex=111,estimate=107,9380c86dcf5d06cb,sync,True,,,
prompt,agentsightr,agentsightr,agentsightr,keep,low_confidence,0.229,0.387,regenerate_candidate,generic_or_noisy_tag;long_tail,True,True,True,False,100,2,4,0,0,4,printf=4,process=4,none=4,agentsight=3; agentsightr=3,,,4a3146e7cbce2b0f,agentsightr,True,,,
